id,rank,star_name
nm0000134,1,Robert De Niro
nm0000197,2,Jack Nicholson
nm0000008,3,Marlon Brando
nm0000243,4,Denzel Washington
nm0000022,5,Clark Gable
nm0000158,6,Tom Hanks
nm0000007,7,Humphrey Bogart
nm0000358,8,Daniel Day-Lewis
nm0001627,9,Sidney Poitier
nm0000060,10,Gregory Peck
nm0000138,11,Leonardo DiCaprio
nm0000075,12,Spencer Tracy
nm0451321,13,Shah Rukh Khan
nm0000026,14,Cary Grant
nm0000059,15,Laurence Olivier
nm0000537,16,Steve McQueen
nm0000071,17,James Stewart
nm0000045,18,Bruce Lee
nm0000020,19,Henry Fonda
nm0000151,20,Morgan Freeman
nm0000010,21,James Cagney
nm0000136,22,Johnny Depp
nm0000122,23,Charles Chaplin
nm0001050,24,Montgomery Clift
nm0000148,25,Harrison Ford
nm0000031,26,Katharine Hepburn
nm0000658,27,Meryl Streep
nm0000006,28,Ingrid Bergman
nm0000072,29,Elizabeth Taylor
nm0000012,30,Bette Davis
nm0000949,31,Cate Blanchett
nm0000030,32,Audrey Hepburn
nm0000701,33,Kate Winslet
nm0000932,34,Halle Berry
nm0000047,35,Sophia Loren
nm0000046,36,Vivien Leigh
nm0000054,37,Marilyn Monroe
nm0205626,38,Viola Davis
nm0000210,39,Julia Roberts
nm0000149,40,Jodie Foster
nm0000023,41,Judy Garland
nm0000366,42,Catherine Deneuve
nm0000038,43,Grace Kelly
nm0000545,44,Helen Mirren
nm0000291,45,Angela Bassett
nm0001256,46,Greta Garbo
nm0000014,47,Olivia de Havilland
nm0361697,48,Setsuko Hara
nm0000267,49,Julie Andrews
nm0001376,50,Isabelle Huppert
nm0000015,51,James Dean
nm0000018,52,Kirk Douglas
nm0000052,53,Marcello Mastroianni
nm0000199,54,Al Pacino
nm0000037,55,Gene Kelly
nm0000226,56,Will Smith
nm0001536,57,Toshirô Mifune
nm0000056,58,Paul Newman
nm0000078,59,John Wayne
nm0482320,60,Mohanlal
nm0000011,61,Gary Cooper
nm0000164,62,Anthony Hopkins
nm0000367,63,Gérard Depardieu
nm0001845,64,Forest Whitaker
nm0000163,65,Dustin Hoffman
nm0000032,66,Charlton Heston
nm0000129,67,Tom Cruise
nm0000168,68,Samuel L. Jackson
nm0000564,69,Peter O'Toole
nm0000245,70,Robin Williams
nm0000552,71,Eddie Murphy
nm0000104,72,Antonio Banderas
nm0000332,73,Don Cheadle
nm0001725,74,Omar Sharif
nm0005132,75,Heath Ledger
nm0000473,76,Diane Keaton
nm0000028,77,Rita Hayworth
nm0000081,78,Natalie Wood
nm0001076,79,Joan Crawford
nm0000215,80,Susan Sarandon
nm0000335,81,Glenn Close
nm0000021,82,Joan Fontaine
nm0000194,83,Julianne Moore
nm0000155,84,Whoopi Goldberg
nm0001401,85,Angelina Jolie
nm0000404,86,Jane Fonda
nm0880521,87,Liv Ullmann
nm0000204,88,Natalie Portman
nm0000113,89,Sandra Bullock
nm0000039,90,Deborah Kerr
nm0000668,91,Emma Thompson
nm0000201,92,Michelle Pfeiffer
nm0001159,93,Faye Dunaway
nm0004851,94,Penélope Cruz
nm0000173,95,Nicole Kidman
nm0000161,96,Salma Hayek
nm0000244,97,Sigourney Weaver
nm0000870,98,Kathy Bates
nm0005154,99,Lucy Liu
nm0010736,100,Amy Adams
nm0000313,101,Jeff Bridges
nm0001426,102,Ben Kingsley
nm0000169,103,Tommy Lee Jones
nm0000602,104,Robert Redford
nm0000493,105,Jack Lemmon
nm0001626,106,Christopher Plummer
nm0001715,107,George C. Scott
nm0001618,108,Joaquin Phoenix
nm0000686,109,Christopher Walken
nm0000450,110,Philip Seymour Hoffman
nm0000123,111,George Clooney
nm0000432,112,Gene Hackman
nm0000246,113,Bruce Willis
nm0000125,114,Sean Connery
nm0005212,115,Ian McKellen
nm0000128,116,Russell Crowe
nm0000195,117,Bill Murray
nm0000115,118,Nicolas Cage
nm0000582,119,Joe Pesci
nm0000093,120,Brad Pitt
nm0000126,121,Kevin Costner
nm0000661,122,Donald Sutherland
nm0000142,123,Clint Eastwood
nm0000140,124,Michael Douglas
nm0000375,125,Robert Downey Jr.
nm0001257,126,Ava Gardner
nm0000398,127,Sally Field
nm0000013,128,Doris Day
nm0000511,129,Shirley MacLaine
nm0000456,130,Holly Hunter
nm0005476,131,Hilary Swank
nm0001055,132,Claudette Colbert
nm0000178,133,Diane Lane
nm0001448,134,Jessica Lange
nm0841797,135,Gloria Swanson
nm0000002,136,Lauren Bacall
nm0000531,137,Frances McDormand
nm0790454,138,Norma Shearer
nm0000541,139,Bette Midler
nm0001546,140,Mary Tyler Moore
nm0536167,141,Anna Magnani
nm0001132,142,Judi Dench
nm0000232,143,Sharon Stone
nm0000107,144,Kim Basinger
nm0413559,145,Glenda Jackson
nm0001656,146,Donna Reed
nm0000193,147,Demi Moore
nm0004266,148,Anne Hathaway
nm0591485,149,Liza Minnelli
nm0000133,150,Geena Davis
nm0000634,151,Peter Sellers
