tid,cluster,title,imdbRating,ratingCount,year,nrOfWins,nrOfNominations,nrOfUserReviews,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
tt0012349,1,Der Vagabund und das Kind (1921),8.4,40550,1921,1,0,85,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0015864,9,Goldrausch (1925),8.3,45319,1925,2,1,122,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0017136,1,Metropolis (1927),8.4,81007,1927,3,4,376,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0017925,9,Der General (1926),8.3,37521,1926,1,1,219,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021749,3,Lichter der Gro_stadt (1931),8.7,70057,1931,2,0,186,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0022100,7,M (1931),8.5,73726,1931,1,0,254,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0025316,3,Es geschah in einer Nacht (1934),8.3,46503,1934,4,1,211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0027977,1,Moderne Zeiten (1936),8.6,90847,1936,3,1,180,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0031381,3,Vom Winde verweht (1939),8.2,160414,1939,10,6,653,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
tt0031679,1,Mr. Smith geht nach Washington (1939),8.4,58169,1939,4,10,226,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032138,9,Der Zauberer von Oz (1939),8.1,209506,1939,6,12,477,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032551,1,Früchte des Zorns (1940),8.2,45737,1940,6,5,257,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032553,1,Der gro_e Diktator (1940),8.5,87969,1940,5,1,173,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0032976,7,Rebecca (1940),8.3,65670,1940,2,9,241,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0033467,6,Citizen Kane (1941),8.5,228617,1941,7,10,1101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0033870,7,Die Spur des Falken (1941),8.2,86012,1941,1,0,294,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0034583,6,Casablanca (1942),8.6,296802,1942,5,6,960,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
tt0036775,7,Frau ohne Gewissen (1944),8.5,71266,1944,3,0,260,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0036868,3,Die besten Jahre unseres Lebens (1946),8.3,30002,1946,13,1,218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
tt0038355,7,Tote schlafen fest (1946),8.1,50020,1946,1,0,215,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0038650,1,It's a Wonderful Life (1946),8.7,197764,1946,6,0,626,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
